[00:04.54] eatMePlz
[00:09.54] 詞曲: 廖健酉/主唱: Evon
[00:14.54] ＼＼＼＼＼＼＼前奏／／／／／／／
[00:27.05] 我的夢想是想要被吃掉
[00:32.00] 我的夢想就是我被吃掉之後
[00:39.10] 我的那個奶油
[00:42.30] 從他的嘴巴爆開的樣子
[00:47.28] 全部吃掉
[00:49.53] 吃吃吃掉
[00:51.03] 吃吃吃掉
[00:54.39] 全部吃掉
[00:55.78] 吃吃吃掉
[00:57.59] 玩累了就把我吃掉
[01:02.98] 踏上夢想路上
[01:05.19] 我背井離鄉
[01:08.79] 滿載肚中行囊
[01:11.78] 在遊樂園四處流浪
[01:16.07] 想要進到你口腔
[01:18.17] 在你口中的爆香
[01:21.40] 是我對未來的美好想像
[01:27.45] 全部吃掉
[01:28.77] 吃吃吃掉
[01:30.21] 吃吃吃掉
[01:33.60] 全部吃掉
[01:34.92] 吃吃吃掉
[01:37.32] 玩累了就把我吃掉
[01:41.94] 我已經準備好
[01:44.85] 把脆弱都送給你
[01:47.62] 讓那一口溫柔
[01:51.06] 直接命中我身體
[01:54.35] 你若是已經張口
[01:56.77] 不要溫柔遲疑
[02:00.67] 一起通向的美好風景
[02:05.70] butter busting
[02:19.36] 全部吃掉
[02:20.54] 吃吃吃掉
[02:22.06] 吃吃吃掉
[02:25.35] 全部吃掉
[02:26.77] 吃吃吃掉
[02:29.06] 玩累了就把我吃掉
[02:33.24] Remi哥阿鳳跟小強尼
[02:38.06] 路上遇到他們千萬要憂心
[02:45.54] 病毒污漬沾滿身沒人理
[02:50.76] 如果髒兮兮誰會想吃你
[02:58.01] 雲霄飛車尖叫心跳
[03:01.78] 鬼屋裡面驚嚇剛好
[03:04.90] 棚內表演歌聲繚繞
[03:08.00] 摩天輪頂彈跳瘋掉
[03:12.39] 全部吃掉
[03:13.79] 吃吃吃掉
[03:15.38] 吃吃吃掉
[03:18.69] 全部吃掉
[03:20.09] 吃吃吃掉
[03:22.41] 玩累了就把我吃掉
